PROVINCE,GEO_NAME,DIM: Household total income groups (14),DIM: Household type including census family structure (16),DIM: Housing suitability (3),DIM: Dwelling condition (3),DIM: Shelter-cost-to-income ratio (5),Dim: Tenure (4): Member ID: [1]: Total - Tenure,Fraction of Total
"NB,QC",Campbellton,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,450,1.011111111
"NB,QC",Campbellton,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,40,0.088888889
"NB,QC",Campbellton,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,305,0.677777778
"NB,QC",Campbellton,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,110,0.244444444
"NB,QC",Campbellton,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,815,0.993865031
"NB,QC",Campbellton,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,285,0.349693252
"NB,QC",Campbellton,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,430,0.527607362
"NB,QC",Campbellton,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,95,0.116564417
"NB,QC",Campbellton,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,920,1
"NB,QC",Campbellton,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,580,0.630434783
"NB,QC",Campbellton,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,250,0.27173913
"NB,QC",Campbellton,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,90,0.097826087
"NB,QC",Campbellton,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,895,1.005586592
"NB,QC",Campbellton,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,750,0.837988827
"NB,QC",Campbellton,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,75,0.083798883
"NB,QC",Campbellton,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,75,0.083798883
"NB,QC",Campbellton,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,690,1.007246377
"NB,QC",Campbellton,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,585,0.847826087
"NB,QC",Campbellton,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,50,0.072463768
"NB,QC",Campbellton,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,60,0.086956522
"NB,QC",Campbellton,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,585,1.008547009
"NB,QC",Campbellton,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,535,0.914529915
"NB,QC",Campbellton,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,10,0.017094017
"NB,QC",Campbellton,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,45,0.076923077
"NB,QC",Campbellton,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,445,1.011235955
"NB,QC",Campbellton,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,420,0.943820225
"NB,QC",Campbellton,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,10,0.02247191
"NB,QC",Campbellton,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,20,0.04494382
"NB,QC",Campbellton,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,500,1
"NB,QC",Campbellton,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,460,0.92
"NB,QC",Campbellton,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,0,0
"NB,QC",Campbellton,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,40,0.08
"NB,QC",Campbellton,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,365,0.98630137
"NB,QC",Campbellton,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,340,0.931506849
"NB,QC",Campbellton,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,0,0
"NB,QC",Campbellton,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,20,0.054794521
"NB,QC",Campbellton,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,270,0.981481481
"NB,QC",Campbellton,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,255,0.944444444
"NB,QC",Campbellton,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,0,0
"NB,QC",Campbellton,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,10,0.037037037
"NB,QC",Campbellton,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,1145,1.004366812
"NB,QC",Campbellton,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,1110,0.969432314
"NB,QC",Campbellton,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,10,0.008733624
"NB,QC",Campbellton,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,30,0.026200873
NB,Campbellton (New Brunswick part),"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,325,0.969230769
NB,Campbellton (New Brunswick part),"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,45,0.138461538
NB,Campbellton (New Brunswick part),"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,270,0.830769231
NB,Campbellton (New Brunswick part),"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Campbellton (New Brunswick part),"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,590,1
NB,Campbellton (New Brunswick part),"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,215,0.36440678
NB,Campbellton (New Brunswick part),"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,375,0.63559322
NB,Campbellton (New Brunswick part),"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Campbellton (New Brunswick part),"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,735,1.006802721
NB,Campbellton (New Brunswick part),"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,500,0.680272109
NB,Campbellton (New Brunswick part),"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,240,0.326530612
NB,Campbellton (New Brunswick part),"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Campbellton (New Brunswick part),"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,735,0.993197279
NB,Campbellton (New Brunswick part),"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,665,0.904761905
NB,Campbellton (New Brunswick part),"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,65,0.088435374
NB,Campbellton (New Brunswick part),"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Campbellton (New Brunswick part),"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,570,1.00877193
NB,Campbellton (New Brunswick part),"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,535,0.938596491
NB,Campbellton (New Brunswick part),"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,40,0.070175439
NB,Campbellton (New Brunswick part),"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Campbellton (New Brunswick part),"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,505,1
NB,Campbellton (New Brunswick part),"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,495,0.98019802
NB,Campbellton (New Brunswick part),"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,10,0.01980198
NB,Campbellton (New Brunswick part),"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Campbellton (New Brunswick part),"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,380,0.986842105
NB,Campbellton (New Brunswick part),"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,375,0.986842105
NB,Campbellton (New Brunswick part),"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,0,0
NB,Campbellton (New Brunswick part),"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Campbellton (New Brunswick part),"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,430,0.988372093
NB,Campbellton (New Brunswick part),"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,425,0.988372093
NB,Campbellton (New Brunswick part),"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,0,0
NB,Campbellton (New Brunswick part),"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Campbellton (New Brunswick part),"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,300,1
NB,Campbellton (New Brunswick part),"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,300,1
NB,Campbellton (New Brunswick part),"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,0,0
NB,Campbellton (New Brunswick part),"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Campbellton (New Brunswick part),"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,240,1
NB,Campbellton (New Brunswick part),"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,240,1
NB,Campbellton (New Brunswick part),"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,0,0
NB,Campbellton (New Brunswick part),"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Campbellton (New Brunswick part),"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,1045,0.995215311
NB,Campbellton (New Brunswick part),"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,1040,0.995215311
NB,Campbellton (New Brunswick part),"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,0,0
NB,Campbellton (New Brunswick part),"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
QC,Campbellton (Quebec part),"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,130,0.730769231
QC,Campbellton (Quebec part),"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,0,0
QC,Campbellton (Quebec part),"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,,0
QC,Campbellton (Quebec part),"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,95,0.730769231
QC,Campbellton (Quebec part),"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,225,0.755555556
QC,Campbellton (Quebec part),"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,75,0.333333333
QC,Campbellton (Quebec part),"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,,0
QC,Campbellton (Quebec part),"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,95,0.422222222
QC,Campbellton (Quebec part),"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,185,0.918918919
QC,Campbellton (Quebec part),"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,80,0.432432432
QC,Campbellton (Quebec part),"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,,0
QC,Campbellton (Quebec part),"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,90,0.486486486
QC,Campbellton (Quebec part),"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,160,0.9375
QC,Campbellton (Quebec part),"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,80,0.5
QC,Campbellton (Quebec part),"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,,0
QC,Campbellton (Quebec part),"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,70,0.4375
QC,Campbellton (Quebec part),"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,120,0.958333333
QC,Campbellton (Quebec part),"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,55,0.458333333
QC,Campbellton (Quebec part),"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,,0
QC,Campbellton (Quebec part),"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,60,0.5
QC,Campbellton (Quebec part),"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,85,0.941176471
QC,Campbellton (Quebec part),"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,40,0.470588235
QC,Campbellton (Quebec part),"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,,0
QC,Campbellton (Quebec part),"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,40,0.470588235
QC,Campbellton (Quebec part),"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,65,0.923076923
QC,Campbellton (Quebec part),"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,40,0.615384615
QC,Campbellton (Quebec part),"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,,0
QC,Campbellton (Quebec part),"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,20,0.307692308
QC,Campbellton (Quebec part),"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,70,1
QC,Campbellton (Quebec part),"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,35,0.5
QC,Campbellton (Quebec part),"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,,0
QC,Campbellton (Quebec part),"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,35,0.5
QC,Campbellton (Quebec part),"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,65,0.923076923
QC,Campbellton (Quebec part),"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,45,0.692307692
QC,Campbellton (Quebec part),"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,,0
QC,Campbellton (Quebec part),"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,15,0.230769231
QC,Campbellton (Quebec part),"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,25,1.4
QC,Campbellton (Quebec part),"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,20,0.8
QC,Campbellton (Quebec part),"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,,0
QC,Campbellton (Quebec part),"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,15,0.6
QC,Campbellton (Quebec part),"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,100,1
QC,Campbellton (Quebec part),"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,70,0.7
QC,Campbellton (Quebec part),"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,,0
QC,Campbellton (Quebec part),"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,30,0.3
NB,Edmundston,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,435,0.91954023
NB,Edmundston,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,55,0.126436782
NB,Edmundston,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,345,0.793103448
NB,Edmundston,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Edmundston,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,945,0.989417989
NB,Edmundston,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,350,0.37037037
NB,Edmundston,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,585,0.619047619
NB,Edmundston,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Edmundston,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,1270,0.996062992
NB,Edmundston,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,765,0.602362205
NB,Edmundston,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,500,0.393700787
NB,Edmundston,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Edmundston,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,1360,0.992647059
NB,Edmundston,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,1120,0.823529412
NB,Edmundston,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,230,0.169117647
NB,Edmundston,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Edmundston,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,1005,0.980099502
NB,Edmundston,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,850,0.845771144
NB,Edmundston,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,135,0.134328358
NB,Edmundston,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Edmundston,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,890,0.988764045
NB,Edmundston,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,835,0.938202247
NB,Edmundston,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,45,0.050561798
NB,Edmundston,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Edmundston,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,780,0.987179487
NB,Edmundston,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,745,0.955128205
NB,Edmundston,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,25,0.032051282
NB,Edmundston,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Edmundston,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,735,0.986394558
NB,Edmundston,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,705,0.959183673
NB,Edmundston,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,20,0.027210884
NB,Edmundston,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Edmundston,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,605,1
NB,Edmundston,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,595,0.983471074
NB,Edmundston,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,10,0.016528926
NB,Edmundston,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Edmundston,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,500,1
NB,Edmundston,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,500,1
NB,Edmundston,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,0,0
NB,Edmundston,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
NB,Edmundston,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,2005,0.987531172
NB,Edmundston,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,1980,0.987531172
NB,Edmundston,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,0,0
NB,Edmundston,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
